#Position (bp)	insert size	chromosomes
1.2422839165E9	294.47773383768913	0.0
1.2423864675E9	296.3975223537639	0.0
1.242487262E9	283.5511420059583	722372.1700253274
1.2425862765E9	295.12205091059604	0.0
1.242684779E9	296.3186772124307	0.0
1.2427829085E9	282.8193753308629	722372.1700253274
1.242880977E9	267.76397092230803	0.0
1.2429778635E9	301.12011019283744	0.0
1.2430734425E9	296.2790033894274	722372.1700253274
1.2431687625E9	246.38715769593958	0.0
1.243263771E9	261.7470203122377	0.0
1.243358506E9	298.88208135762414	722372.1700253274
1.2434521555E9	297.18853722143194	0.0
1.2435446105E9	280.7620822313056	0.0
1.243636722E9	295.4622641509434	722372.1700253274
1.2437286695E9	290.9237578526556	0.0
1.2438202425E9	303.05799277175424	0.0
1.24391134E9	299.6307900305667	722372.1700253274
1.244002133E9	306.09415515409137	0.0
1.244091285E9	312.9691936456867	0.0
1.2441785805E9	208.0	722372.1700253274
1.244265562E9	298.85163068442813	0.0
1.2443525005E9	286.35872356033747	0.0
1.2444394075E9	302.3354282491338	722372.1700253274
1.244526171E9	291.40395006521334	0.0
1.244612722E9	287.70008718395815	0.0
1.2446990635E9	292.4649315396591	722372.1700253274
1.244784807E9	239.38735177865613	0.0
1.2448699465E9	260.95165394402034	0.0
1.2449549465E9	237.01330108827085	722372.1700253274
1.2450363635E9	142.19444444444446	0.0
1.2450788635E9	197.5	0.0
1.245124483E9	300.71824769433465	722372.1700253274
1.245208322E9	284.27023353515386	0.0
1.245291749E9	239.94935876356462	0.0
1.2453749645E9	289.5994402985075	722372.1700253274
1.24545813E9	291.74734982332154	0.0
1.2455410435E9	298.14501486930664	0.0
1.245623686E9	302.6897501878715	722372.1700253274
1.245706217E9	263.5927880386983	0.0
1.2457883525E9	304.4761955141769	0.0
1.2458700815E9	302.63142767885034	722372.1700253274
1.2459515655E9	297.19489344857163	0.0
1.2460326745E9	315.17736562528137	0.0
1.2461133765E9	285.61143006263046	722372.1700253274
1.246193759E9	296.4369632950832	0.0
1.2462737955E9	290.7522382054119	0.0
1.246353505E9	294.77483998325056	722372.1700253274
1.2464330355E9	282.7950575753655	0.0
1.2465124845E9	283.38028169014086	0.0
1.246591786E9	299.90290686177576	722372.1700253274
1.246670842E9	294.0708884688091	0.0
1.2467497525E9	297.3747629283095	0.0
1.2468284585E9	297.0905734265734	722372.1700253274
1.246906944E9	247.46341463414635	0.0
1.246985361E9	296.88788700422475	0.0
1.2470635605E9	297.1327217125382	722372.1700253274
1.247141556E9	298.3091823899371	0.0
1.247219478E9	299.8136419944255	0.0
1.247297317E9	292.9767184035477	722372.1700253274
1.2473749065E9	263.5119214586255	0.0
1.247452015E9	233.992	0.0
1.247528684E9	301.0552867166707	722372.1700253274
1.2476050985E9	291.95466648914925	0.0
1.247681442E9	321.141567734591	0.0
1.247757714E9	303.59661592319526	722372.1700253274
1.247833923E9	297.8855238540692	0.0
1.2479099405E9	289.7428481609557	0.0
1.2479856185E9	257.22267316017314	722372.1700253274
1.248060965E9	291.01753816174084	0.0
1.248136018E9	297.91089455563986	0.0
1.248210766E9	294.6881928748251	722372.1700253274
1.2482852525E9	291.1960223402806	0.0
1.2483595655E9	289.52770416767044	0.0
1.2484338275E9	258.6512183468705	722372.1700253274
